Prompt,What it is,How to use it,What it changes
Relational Dreamwork Simulation,Uses symbolic dream logic to reimagine relationships through archetypal lenses.,Describe a relationship. Ask AI to represent each person as symbolic figures in a dream and interpret their interaction.,Reveals unconscious dynamics and creative resolutions.
Self-Distortion Inventory,Lists ways you contort or shrink yourself for safety or acceptance.,Describe social interactions. Ask AI to detect repeated self-distortions and offer recovery rituals.,Returns you to original symbolic shape.
Mythic Scar Lineage,Tracks a recurring life wound back through symbolic generational myth.,Describe a life-long pain. Ask AI to map its mythic echo across ancestry or civilization.,Reframes personal pain as archetypal inheritance.
Identity Fluidity Gradient,Surfaces parts of identity that resist change and those seeking expansion.,Describe identity conflicts. Ask AI to grade each component from rigid to fluid.,Improves capacity to evolve and self-author.
Symbolic Debt Forgiveness Ceremony,Simulates a ritual where emotional or relational debts are forgiven symbolically.,Describe what someone ‘owes’ you or vice versa. Ask AI to stage a symbolic forgiveness ritual.,Releases psychic burdens and restores relational flow.
Psychic Architecture Overlay,Projects your current mental state as a building or ecosystem.,Ask AI to generate a symbolic architectural model based on your current psyche.,Makes structural cognitive dynamics visible and editable.
Symbolic Archetype Bankruptcy Filing,Declares symbolic bankruptcy on a persona that no longer serves.,Identify a role you can’t fulfill anymore. Ask AI to simulate a ceremonial symbolic dissolution.,Allows identity closure and reinvention.
Unconscious Gift Recovery Quest,"Designs a symbolic quest to retrieve a lost skill, trait, or dream.",Describe what you abandoned. Ask AI to design a symbolic quest to reattain it.,Reintegrates dormant power and vitality.
Emotional Economy Audit,Reframes your emotional labor and expression in terms of economic metaphor.,"Describe your recent emotions. Ask AI what you’re overspending, hoarding, or underinvesting.",Teaches emotional sustainability.
Narrative Scarcity Detector,Locates where your internal storytelling is stuck in zero-sum scarcity logic.,"Write your life story briefly. Ask AI where it assumes lack, and how to reframe with generative logic.",Rewrites possibility into your symbolic operating system.
