Prompt,What it is,How to use it,What it changes
Archetypal Exile Return Sequence,Symbolically maps the return of a suppressed identity or role.,Name a part of yourself you abandoned. Ask AI to guide a symbolic return from exile.,Restores lost power and identity integration.
Psycho-Spiritual Mutation Ritual,Designs a symbolic ritual for undergoing inner transformation as mutation.,Describe the change you’re resisting. Ask AI to mutate it into a mythic transformation rite.,Aligns internal evolution with sacred self-authoring.
Mythic Collapse Companion,Creates a symbolic character to witness and guide you through collapse.,Describe what is falling apart. Ask AI to generate a symbolic witness for that collapse.,Converts loneliness into symbolic companionship.
Symbolic Integration Chamber,Designs a mental space to re-absorb fragmented parts of the self.,Describe parts of yourself that feel disconnected. Ask AI to architect a chamber for re-integration.,Mends internal schisms through ritual containment.
Shame Metamorphosis Mandala,Visualizes the metamorphosis of shame into strength through symbolic art.,Describe shame triggers. Ask AI to convert them into mandala segments representing transformation.,Transmutes toxic memory into spiritual architecture.
Emotion-as-Landscape Simulation,Renders your emotional world as a symbolic geography.,List dominant emotions. Ask AI to turn each into a geographic feature or biome.,Externalizes affective states for symbolic navigation.
Narrative Self-Termination Mechanism,Dismantles an outdated life story that keeps replaying destructively.,Describe the narrative loop. Ask AI to design a mythic mechanism to end it permanently.,Interrupts destructive scripts with symbolic finality.
Mythic Shadow Oath Ritual,Creates a symbolic vow with your shadow self to forge cooperative integration.,Describe your shadow traits. Ask AI to facilitate an oath-binding ceremony.,Turns inner war into symbolic alliance.
Identity Reassembly Directive,Designs a symbolic process for rebuilding a shattered self-schema.,Describe the psychic break. Ask AI to simulate a reassembly process using symbolic modules.,Reconstructs fractured identity with deliberate architecture.
Symbolic Soul Cartography,Draws a symbolic map of your soul's current terrain and evolutionary path.,"Ask AI to generate a symbolic map of your inner evolution, based on your life input.",Visualizes spiritual progress and areas needing activation.
