Prompt,What it is,How to use it,What it changes
Relational Authenticity Barometer,Measures how much of your true self shows up in relationships.,Describe several relationships. Ask AI to analyze which ones allow full authenticity and where masking occurs.,Builds self-trust and relationship alignment.
Unspoken Narrative Interpreter,Decodes the story you’re telling through what you avoid saying.,Write a letter or description omitting the most uncomfortable truth. Ask AI to identify the missing narrative.,Makes unconscious storylines explicit for rewriting.
Emotional Bandwidth Allocation,Analyzes how your emotions are being distributed daily.,"Describe your day and energy. Ask AI how much bandwidth went to anxiety, joy, avoidance, or performance.",Increases emotion budgeting awareness.
Disowned Truth Generator,Uncovers truths you suspect but won’t admit.,Name a persistent doubt or tension. Ask AI to speak the truth you might be avoiding.,Confronts denial and accelerates internal clarity.
Symbolic Home Inventory,Decodes what your living space says about your internal state.,Describe your environment. Ask AI to symbolically interpret what each area reflects emotionally.,Turns physical space into an emotional feedback tool.
Emotional Intensity Forecast,Predicts where and when emotional spikes will occur.,Describe your week. Ask AI which events or interactions are likely to trigger emotional amplification.,Enables pre-processing of emotion and better grounding.
Vocal Authenticity Scanner,Detects when your tone or language is hiding emotion or identity.,Provide a script or message. Ask AI to identify tone mismatches or false social compliance.,Promotes aligned self-expression.
Paradox Navigator,Holds two conflicting truths and finds their synthesis.,"Describe an internal paradox. Ask AI to articulate both sides fully, then find their shared root.",Enhances emotional and cognitive integration.
Self-Honesty Titration Plan,Gradually increases your ability to face hard truths.,List current fears. Ask AI to rank them in intensity and suggest a stepwise confrontation plan.,Trains emotional resilience and denial breakdown.
Meaning Deficit Locator,Pinpoints where meaning has collapsed or become performative.,Describe routines or rituals. Ask AI to identify which ones lack emotional or symbolic substance.,Restores significance to daily life.
