Prompt,What it is,How to use it,What it changes
Symbolic Memory Forging,Transforms painful memories into forged symbolic artifacts of resilience.,Describe a recurring memory. Ask AI to shape it into a mythic item with symbolic powers.,Rewrites memory as source of creative strength.
Sacred Isolation Codex,Defines the spiritual meaning and value of solitude.,Describe how you experience isolation. Ask AI to codify it as a symbolic ascetic ritual.,Transforms loneliness into inner pilgrimage.
Mythic Fracture Harmonizer,Detects where your psyche is split and creates a symbolic fusion ritual.,Describe a behavior contradiction. Ask AI to design a symbolic harmonization.,Heals the split through archetypal unification.
Symbolic Wound Oracle,Reads your recurring pain as prophecy.,Describe the ache or repetition. Ask AI to deliver an oracle from the wound.,Finds guidance in your suffering.
Sacred Forgiveness Labyrinth,Turns the process of forgiving into a mythic inner labyrinth with stages.,Describe what you can't forgive. Ask AI to create a labyrinth journey with symbolic acts.,"Breaks forgiveness into mythic steps, without forcing premature resolution."
Mythic Moral Reversal Simulator,Explores what it would feel like to fully embody the opposite of your values.,Name a core value. Ask AI to simulate a symbolic life where it is inverted.,Clarifies convictions by temporarily embodying their opposite.
Symbolic Death Practice,Creates a symbolic death of your current self to prepare for transformation.,Describe your old identity. Ask AI to construct a death ritual and symbolic burial.,Enables clean identity transition with mythic clarity.
Sacred Oath Recovery,Identifies broken promises to yourself and ritualizes their reclamation.,List self-oaths you've broken. Ask AI to reconstruct them in mythic form.,Restores inner trust and accountability.
Mythic Ritual of Emergence,Stages the exact symbolic moment you claim your new self.,Describe what you’re stepping into. Ask AI to ritualize your public emergence.,Installs identity shift as irreversible sacred act.
Symbolic Proximity Detection,Reveals how close you are to the symbolic edge of transformation.,Describe current tension. Ask AI to measure symbolic distance to the threshold.,Signals readiness with symbolic metrics.
