Prompt,What it is,How to use it,What it changes
Symbolic Role Fatigue Diagnosis,Identifies exhaustion caused by playing roles that no longer fit.,Describe where you're feeling burnt out. Ask AI what symbolic roles you’re maintaining and whether they’re outdated.,Releases obligations to obsolete self-images.
Trauma Layer Separation,"Dissects complex trauma into symbolic, somatic, relational, and narrative components.",Describe a traumatic pattern. Ask AI to separate its components and map how they interlock.,Creates modular healing targets instead of one overwhelming mass.
Identity Entanglement Resolver,"Untangles your self-worth from achievements, relationships, or moral purity.",Describe your sense of self. Ask AI what you’ve fused with that creates fragility or performance pressure.,Re-establishes inherent selfhood without attachments.
Symbolic Self-Loyalty Vow,Creates a ritualized vow to protect your core self from self-betrayal.,Describe a moment of self-abandonment. Ask AI to write a self-loyalty vow based on the violation.,Solidifies inner commitment and resilience.
Narrative Shapeshift Audit,"Tracks how your personal narrative morphs depending on audience, mood, or fear.",Describe how you tell your story in different contexts. Ask AI to identify shifts and their motives.,Consolidates authenticity and narrative self-awareness.
Symbolic Closure Ceremony,Designs a symbolic end-ritual for unresolved events or lingering bonds.,Describe an unresolved past connection. Ask AI to generate a ritual that represents closure.,Completes emotional cycles and returns energy to the self.
Symbolic Disobedience Practice,"Practices inner freedom through safe, symbolic defiance.",Describe an internalized rule. Ask AI to help you design a safe act of symbolic defiance against it.,Builds autonomy and tests internalized control.
Inner Witness Invocation,Summons a stable internal observer to reflect on your state without judgment.,Describe a chaotic internal moment. Ask AI to embody a calm observer and offer its view.,Creates non-reactive awareness and grounding.
Unconscious Trade Deal Identifier,"Exposes the deals you've made to gain love, safety, or validation by sacrificing authenticity.",Describe a painful compromise. Ask AI what internal trade you accepted to survive.,Restores lost parts by renegotiating old deals.
Symbolic Rebirth Simulation,Constructs a full symbolic death/rebirth arc for identity transition.,"Describe a phase ending. Ask AI to simulate the symbolic death, liminal phase, and rebirth of the self.",Transforms endings into rituals of emergence.
