Prompt,What it is,How to use it,What it changes
Mythic Forgiveness Reactor,A symbolic mechanism that alchemizes resentment into generative force.,Describe your grudge. Ask AI to construct a reactor that converts it into symbolic energy.,Transforms withheld emotion into psychological momentum.
Symbolic Wound Weaving,Turns psychological wounds into patterns woven into a symbolic tapestry of experience.,List major emotional wounds. Ask AI to weave them into a visual or narrative cloth.,Converts pain into meaning-bearing structure.
Mythic Mentor Invocation,Summons a symbolic guide or ancestor tailored to your current phase.,Describe your challenge. Ask AI to create a mythic teacher to guide you.,Embeds growth inside archetypal mentorship.
Symbolic Unlearning Chamber,Constructs a space where old beliefs are dismantled symbolically.,State the belief. Ask AI to design a mythic chamber where it can be dissolved.,Creates sacred ground for letting go of false truths.
Emotional Sovereignty Declaration,A symbolic decree that reclaims your emotional autonomy.,List ways you’ve been emotionally overrun. Ask AI to issue a symbolic declaration of independence.,Reasserts emotional control through ritual empowerment.
Symbolic Distraction Filter,Frames your distractions as symbolic saboteurs with identifiable patterns.,Name the distraction. Ask AI to embody it as a mythic adversary and reveal its lure.,Exposes hidden patterns behind lost focus.
Sacred Repetition Cycle,Symbolizes recurring mistakes as sacred lessons not yet mastered.,Describe the repeated behavior. Ask AI to reframe it as a ritualized learning loop.,Restores dignity and structure to personal loops.
Mythic Relationship Codex,Translates your relationship dynamics into archetypal patterns.,Describe your relational tension. Ask AI to assign archetypal roles and meaning.,Decodes patterns and enables mythic reframing.
Symbolic Resistance Diagram,Creates a visual schema of the internal parts resisting your goals.,State the blocked goal. Ask AI to render resistance as named symbolic parts with motives.,Clarifies internal friction and builds inner diplomacy.
Mythic Rest Oracle,Determines what sacred purpose your exhaustion is signaling.,Describe your burnout. Ask AI what the symbolic reason is for your depletion.,Turns exhaustion into a call for inner alignment.
