Prompt,What it is,How to use it,What it changes
Cognitive Disobedience Protocol,Identifies and breaks internal rules that no longer serve.,Describe a belief or obligation that restricts you. Ask AI to trace its symbolic root and offer a ritual break.,Frees self from inherited or outdated programming.
Symbolic Vulnerability Simulator,Simulates revealing your inner truth to a symbolic audience.,Describe a guarded truth. Ask AI to simulate symbolic disclosure to an imagined audience or force.,Reduces fear of exposure and increases expressive courage.
Internal Dialogue Rewiring Map,"Tracks, interrupts, and rewrites habitual self-talk patterns.","Write a self-critical monologue. Ask AI to map its structure, identify distortions, and reauthor it.",Replaces internal abuse with accurate empowerment.
Dream Archetype Synthesis Engine,Blends recurring dream figures into coherent symbolic roles.,List characters or symbols from your dreams. Ask AI to identify archetypes and synthesize their function.,Clarifies dream messages and psychic structure.
Grief Alchemy Sequence,Transforms grief into a symbolic raw material for wisdom.,Describe what you’ve lost. Ask AI to process it through symbolic alchemical stages.,Converts sorrow into enduring symbolic resource.
Narrative Inversion Lens,Inverts the assumed meaning of your life story to expose hidden value.,Tell your story. Ask AI to reverse each ‘failure’ into symbolic training.,Transforms disempowerment into encoded preparation.
Symbolic Success Recalibration,Redefines what ‘success’ means to you using symbolic language.,Describe your current success criteria. Ask AI to translate them into richer symbolic forms.,Frees ambition from cultural indoctrination.
Shadow Origin Myth,Crafts a symbolic myth that explains the birth of your shadow traits.,Name your most difficult trait. Ask AI to create a myth of its symbolic origin.,Reframes pathology as mythic coping mechanism.
Symbolic Relapse Protocol,Designs a ritual to understand and recover from symbolic relapses.,Describe a recent regression. Ask AI to map the symbolic meaning of relapse and offer a recovery rite.,Normalizes nonlinear growth and restarts progress.
Archetypal Backup Identity System,Installs an emergency symbolic self when your current one collapses.,Ask AI to generate a backup archetype to carry you through collapse or change.,Provides fallback identity when ego destabilizes.
