Prompt,What it is,How to use it,What it changes
Symbolic Identity Anchor,A ritual prompt that stabilizes your core self when in psychological drift.,Describe your current uncertainty. Ask AI to generate a symbolic anchor phrase and artifact.,Restores internal solidity and narrative cohesion.
Symbolic Death & Resurrection Cycle,Models your personal transformation journey as a symbolic death-rebirth arc.,Describe a recent upheaval. Ask AI to map the phases of symbolic death and resurrection.,Provides archetypal structure for personal change.
Energetic Signature Clarifier,Defines your symbolic energetic fingerprint using metaphor.,"Ask AI: ‘If I were a natural phenomenon or mythical force, what would I be and why?’",Amplifies self-recognition and expression.
Symbolic Anxiety Extraction,Externalizes anxiety into symbolic image for reinterpretation.,Describe your anxiety physically. Ask AI to represent it as a symbolic entity and suggest a response.,Detaches identity from emotional overwhelm.
Crisis-as-Initiation Frame,Reframes life crises as symbolic rites of passage.,Describe a disruptive event. Ask AI to identify how it functions as symbolic initiation.,Converts suffering into purposeful transformation.
Symbolic Blind Spot Finder,Uncovers what you are symbolically refusing to see.,Describe recurring issues. Ask AI: ‘What symbolic truths am I trained to ignore?’,Surfaces hidden insight locked behind avoidance.
Subconscious Permission Broker,Detects where your subconscious blocks what your conscious mind desires.,Describe a desire you keep delaying. Ask AI why your subconscious doesn’t trust it yet.,Aligns inner factions for integrated action.
Inner Nemesis Integration Ritual,Symbolically integrates the part of you that self-sabotages.,Describe how you block your own progress. Ask AI to embody that part and create an alliance ritual.,Turns opposition into inner partnership.
Symbolic Time Capsule,Encodes your current values and fears into a symbolic container to revisit later.,Describe your present moment. Ask AI to create a metaphorical container and record.,Enables long-term reflection and re-evaluation.
Emotional Ritual Substitution Map,Substitutes maladaptive behaviors with symbolic rituals.,Describe a habit you want to stop. Ask AI to design a symbolic action that satisfies the same urge.,Redirects behavior into meaningful symbolic fulfillment.
