Prompt,What it is,How to use it,What it changes
Emotional Absenteeism Tracker,Reveals where you've emotionally withdrawn to avoid conflict or overload.,Describe an interaction where you felt numb or absent. Ask AI to locate the moment of withdrawal and its root cause.,Reclaims presence and emotional courage.
Internal Monologue Language Filter,Audits the language you use in your internal voice for embedded negativity or distortion.,Transcribe a typical inner monologue. Ask AI to highlight harmful language patterns and suggest alternatives.,Reprograms self-talk into clarity and compassion.
Symbolic Permission Grantor,Creates a symbolic figure or ritual that authorizes your next phase or choice.,"Describe a decision you’re hesitating on. Ask AI to construct a symbolic grantor (e.g. mythical being, elder, future self) that confers permission.",Disrupts dependency on external validation.
Intergenerational Echo Reverser,"Identifies beliefs, fears, or coping strategies passed down from previous generations.",Describe a life struggle. Ask AI what inherited belief it echoes and how to return or revise it.,Breaks unconscious repetition loops.
Symbolic Capacity Expansion Drill,"Strengthens your symbolic threshold for holding contradiction, pain, or ambiguity.","Describe a dilemma. Ask AI to simulate a symbolic stretch (e.g. carrying paradox, holding fire and water) to expand tolerance.",Builds narrative resilience and integrative power.
Relational Disenmeshment Ritual,Separates your identity from entangled relational roles or dynamics.,Describe an overly enmeshed relationship. Ask AI to design a ritual for healthy detachment.,Restores individuality within connection.
Symbolic Surveillance Deactivation,Identifies and deactivates the internalized gaze you perform under.,Describe a context where you feel watched or judged. Ask AI to name the internalized gaze and simulate freedom from it.,Restores agency and authenticity.
Fear-to-Need Reversal Engine,Converts core fears into the underlying unmet needs.,Name a fear. Ask AI to reveal what unfulfilled desire or safety need it masks.,Turns paralysis into actionable clarity.
Symbolic Homecoming Sequence,Guides you back to a forgotten or exiled part of your psyche.,Describe a long-abandoned desire or quality. Ask AI to create a symbolic return path to it.,Reintegrates lost self-fragments.
Shame Translation Layer,Translates shame into its symbolic message and unmet emotional context.,Describe a shame memory. Ask AI to extract the symbolic need or message buried inside.,Decodes shame into repair and recovery.
