Prompt,What it is,How to use it,What it changes
Status Trap Excavator,Reveals how social image manipulates your goals.,Describe your current ambitions. Ask AI which ones are driven more by optics than genuine need.,Reduces performative motivation and strengthens internal alignment.
Invisible Labor Scanner,"Maps the unpaid, unnoticed efforts you provide to others or systems.",Describe a typical week. Ask AI to identify energy outflows you haven’t acknowledged.,Reveals exploitation and improves emotional budgeting.
Self-Forgiveness Blueprint,Systematic guide for emotional repair and release.,Describe something you can’t forgive yourself for. Ask AI to walk you through steps of compassion and repair.,Alleviates guilt loops and frees cognitive space.
Cultural Mindset Overlay,Lets you see through the lens of another culture or belief system.,Describe a belief. Ask AI to explain how that belief would be seen in a different cultural or historic context.,Builds pluralism and loosens cultural ego.
Future Regret Forecast,Predictive emotional hindsight model.,"Describe a life direction you're debating. Ask AI which version you’re most likely to regret, and why.",Helps prioritize values over convenience or fear.
Pattern Blind Spot Analyzer,Detects repeating dysfunction in your life narrative.,Describe five different regrets or frustrations. Ask AI what invisible pattern they reflect.,Reveals unconscious loops and improves pattern literacy.
Symbolic Debt Rewriter,A ritualized way to release lingering obligation or shame.,Describe a past failure. Ask AI to rewrite it as a myth of redemption or evolution.,Transmutes shame into symbolic growth.
Desire Stack Inverter,Flips your priority list to test deeper attachments.,List five goals. Ask AI what your life would look like if the last one were the most important.,Disrupts unconscious hierarchies and invites surprising clarity.
Narrative Gravity Simulator,Models the emotional center of gravity in your life story.,Describe your life in five sentences. Ask AI which event everything else orbits emotionally.,Uncovers root memory and resets narrative orientation.
Shadow Benefit Elicitor,Reveals what hidden benefit you get from your worst habits.,Describe a bad habit. Ask AI what secret emotional reward or protection it provides.,Turns coping into insight and enables conscious replacement.
