Prompt,What it is,How to use it,What it changes
Mythic Rebirth Contract,A symbolic agreement that formalizes the death of an old self and birth of a new one.,Describe what self must end. Ask AI to draft a contract between your old and new identities.,Enacts psychological transition through ritual closure.
Psycho-Mythic Immigration Document,Symbolizes your passage from one phase of identity into another.,Describe your current transformation. Ask AI to simulate a visa/passport into your next self-state.,Legitimizes inner migration and identity fluidity.
Symbolic Inheritance Ledger,"Tallies the gifts and curses inherited from family, culture, or collective myth.",Describe your upbringing. Ask AI to generate an itemized symbolic inheritance record.,Converts unconscious inheritance into conscious choice.
Psychic Closure Polygon,Geometrically maps all open psychological loops to close them visually and ritually.,List unresolved situations. Ask AI to arrange them into a symbolic shape with closure sequences.,Finalizes lingering issues via geometric structure.
Symbolic Initiation Ordeal,Simulates a trial that you must symbolically pass to enter a new life role.,Define the role you seek. Ask AI to construct a symbolic ordeal and passage test.,Creates earned transformation through symbolic difficulty.
Self-Concept DNA Helix,Visualizes the dual strands of your self-definition and their symbolic mutability.,Describe how you define yourself. Ask AI to diagram your self-DNA with traits and conflicting polarities.,Visualizes complexity and updates symbolic genetics.
Cultural Possession Diagnosis,Determines which aspects of your identity are possessed by collective narratives.,List traits or beliefs. Ask AI to identify which ones are culturally installed or internalized.,Restores agency by extracting foreign symbolic programming.
Symbolic Narrative Ghost Eviction,Identifies past selves or dead narratives still haunting your behavior.,Describe repeated behaviors. Ask AI which ghost narrative you’re re-enacting and how to evict it.,Ends reanimation of obsolete identity scripts.
Emotional Truth Extraction Matrix,Systematically isolates what you’re actually feeling beneath surface content.,Describe your confusion or emotional state. Ask AI to extract and label layered emotional truths.,Refines emotional clarity and authenticity.
Symbolic Psyche Mirror Ritual,Creates a symbolic reflective surface to view parts of self unseen by normal introspection.,Describe your desire to see yourself truly. Ask AI to simulate a mythic mirror revealing your unseen sides.,Amplifies self-awareness and hidden pattern exposure.
