Prompt,What it is,How to use it,What it changes
Ritualized Resistance Discharge,Transforms internal resistance into a symbolic force to be ceremonially released.,Describe your most consistent source of internal pushback. Ask AI to design a ritual to discharge it.,Converts energetic blockage into forward momentum.
Symbolic Neural Rewiring Scaffold,Creates a symbolic construction metaphor for rewiring your mental loops.,List unhelpful thoughts. Ask AI to scaffold a symbolic neural rewiring structure and build plan.,Physically models cognitive restructuring.
Trauma Myth Distillation,"Converts a trauma into a symbolic myth with meaning, structure, and metaphor.","Describe a past trauma. Ask AI to mythologize it into a symbolic story of loss, ordeal, and return.",Creates emotional coherence and narrative dignity.
False Self Extraction Procedure,"Isolates and removes personas developed for protection, not authenticity.",Describe a way you fake yourself. Ask AI to identify its symbolic role and initiate extraction.,Reveals the authentic core by shedding outdated personas.
Symbolic Identity Thaw Protocol,Thaws frozen identity states that stopped evolving due to fear or trauma.,Describe a way you feel stuck. Ask AI to create a symbolic warming sequence to thaw it.,Restarts arrested development with ritual permission.
Symbolic Ecosystem Mapping,Visualizes all forces in your life as an interactive symbolic ecosystem.,"List people, habits, and pressures. Ask AI to turn them into a symbolic natural ecosystem.",Gives insight into dynamic system interactions shaping your identity.
Mythic Legacy Forecast,Predicts the future symbolic myth your life is building toward.,Describe your current state. Ask AI to forecast your future symbolic arc based on existing patterns.,Links present action to meaningful symbolic trajectory.
Core Wound Symbol Transmutation,Takes your core psychological wound and transforms it into a sacred symbol.,Name your deepest hurt. Ask AI to translate it into a sacred symbol with alternate meaning.,Converts pain into inner sacred authority.
Symbolic Dreamworld Expansion Engine,Uses your dreams to build a symbolic parallel world structure that evolves with you.,Share your dream symbols. Ask AI to expand them into a living mythos connected to your life path.,Forges an evolving symbolic universe that reflects inner change.
Mythic Dissociation Anchor,Designs a symbolic anchor to stabilize you during psychological dissociation.,Describe your dissociative state. Ask AI to create an archetypal anchor to hold you in place.,Reduces drift and restores embodied presence.
