Prompt,What it is,How to use it,What it changes
Self-Witness Integration Matrix,"Merges your observer self with your emotional, cognitive, and somatic layers.","Describe a moment of conflict. Ask AI to simulate a matrix view from each self-aspect, then unify them.",Builds cohesive inner self-perception.
Narrative Tense Repair,"Analyzes whether your self-story is stuck in past, future, or timeless loops.",Describe your life narrative in 3rd person. Ask AI which tense dominates and how to rebalance.,Shifts identity back to temporal agency.
False Self Dissolution Engine,Detects personas you created for safety or performance that no longer serve.,"List traits you show others. Ask AI which are adaptive masks, and how to release them.",Returns vitality lost to performative roles.
Symbolic Ritual Compression,"Condenses a long healing or change process into a single, potent symbolic act.","Describe a long inner process. Ask AI to ritualize it into one symbolic gesture, phrase, or image.",Accelerates change through symbolic compression.
Inner Language Neutralizer,"Deactivates polarizing or absolute inner vocabulary (e.g., 'always', 'never').",Write your thoughts in raw form. Ask AI to flag absolute terms and replace them with nuanced alternatives.,Restores complexity and reduces internal rigidity.
Unconscious Altar Detector,"Identifies what you're unconsciously worshiping, sacrificing for, or giving daily offerings to.",Describe your habits. Ask AI what 'altar' your energy seems to be directed toward.,Reclaims misplaced devotion.
Symbolic Immunity Booster,"Builds resistance to symbolic infection from toxic media, environments, or ideas.",Describe where you feel drained or ideologically contaminated. Ask AI for symbolic armor.,Strengthens psychic boundaries.
Attention Reclamation Protocol,Locates where your attention is unconsciously hijacked and reclaims it.,Track a typical day. Ask AI to map where attention leaks occur and how to seal them.,Rebuilds cognitive sovereignty.
Language Fossil Excavator,Finds outdated metaphors or phrases you still live by.,List common phrases you say. Ask AI if they originate from old eras or belief systems.,Refreshes inner dialogue with upgraded metaphors.
Narrative Regret Reweaver,"Reframes past choices not as errors, but as threshold initiations or signal turns.",Describe a regret. Ask AI to find its initiatory or redirective function.,Alchemizes regret into integrative wisdom.
