Prompt,What it is,How to use it,What it changes
Symbolic Boundary Designer,Helps visualize and articulate your boundaries using imagery or metaphors.,"Describe a boundary violation. Ask AI to construct a symbolic protection structure (e.g., moat, force field, perimeter).",Makes boundaries feel tangible and defendable.
Grief Integration Map,"Maps the emotional, symbolic, and narrative residues of a loss.",Describe a recent or unresolved loss. Ask AI to break it into symbolic fragments and suggest integration rituals.,Converts pain into structured memory and narrative depth.
Emotional Echo Catcher,Identifies where current emotions are reverberations from older experiences.,Describe a strong emotion. Ask AI to trace its earliest echo in memory or relational history.,Reduces overreaction by separating old signal from new data.
Sublimated Anger Channeler,"Turns suppressed anger into creative, assertive, or protective action.",Describe a situation where you withheld anger. Ask AI to convert the withheld energy into action plans.,Harnesses anger without collateral damage.
Inner Conflict Treaty,Negotiates between warring inner voices to form a cooperative agreement.,Describe two opposing drives. Ask AI to simulate a treaty negotiation between them.,Resolves paralysis caused by internal division.
Storyline Collapse Diagnosis,Detects when a personal narrative has lost coherence or meaning.,Describe a life chapter or identity thread. Ask AI if the storyline still functions or has fractured.,Initiates narrative reconstruction.
Symbolic Language Immersion,"Trains you to see events, behaviors, and emotions as symbols in a larger arc.",Describe a recent event. Ask AI for its symbolic layer and hidden pattern.,Enriches perception and decision-making.
Archetypal Role Conflict Analyzer,"Reveals tension between roles like hero, caretaker, rebel, etc.",Describe a pattern or dilemma. Ask AI to identify competing archetypes at play.,Reframes stuckness through mythic identity clarity.
Narrative Immunity Booster,Strengthens your self-narrative against external invalidation.,Describe your identity story. Ask AI to reinforce its symbolic truth even under attack.,Reinforces self-stability during relational or cultural friction.
Subconscious Symbol Tracker,Logs the symbols that consistently appear in your writing or dreams.,Provide multiple journal entries or dream summaries. Ask AI to extract recurring imagery and themes.,Creates symbolic fluency and unlocks latent patterns.
