Prompt,What it is,How to use it,What it changes
Inner Myth Activation Protocol,Initiates symbolic contact with the myth you’re unconsciously living out.,"Ask AI: ‘If my life were a myth in progress, what myth is it and what’s the next act?’",Links personal struggle to mythic trajectory for empowerment.
Autonomy-Addiction Polarity Lens,Analyzes how addictive behavior compensates for lost autonomy.,Describe your compulsions. Ask AI how they symbolically restore a lost sense of choice.,Turns dependence into a map toward reclaiming agency.
Symbolic Social Armor Audit,Detects the symbolic protections you wear in social contexts.,Describe your social persona. Ask AI what armor you wear and what it protects.,Replaces false fronts with empowered vulnerability.
Psychic Aliveness Index,Measures symbolic markers of vitality and numbness in your inner life.,List recent thoughts or habits. Ask AI to rate their aliveness level and suggest catalytic alternatives.,Reorients behavior around emotional vitality.
Dream Symbol Pattern Tracker,Collects and analyzes repeated dream symbols over time.,Describe 3+ dreams. Ask AI to extract recurring motifs and symbolic shifts.,Unlocks subconscious narrative continuity.
Psycho-Emotional Weather Radar,Forecasts upcoming emotional turbulence based on inner signals.,"List current fears, tensions, or urges. Ask AI to simulate the symbolic weather to come.",Prepares you symbolically and emotionally for internal storms.
Symbolic Disobedience Drill,Designs a symbolic act of defiance against internalized oppression.,Describe an internal rule that suffocates you. Ask AI to craft a ritual of symbolic defiance.,Restores sovereignty and emotional liberation.
Archetype Remapping Index,Reassigns the archetypes you unconsciously live out to more empowering ones.,"Ask AI which archetypes dominate your self-narrative, then request upgrades or replacements.",Evolves inner roles and mythic identity structure.
Shadow Language Translator,"Translates passive-aggressive, sarcastic, or coded self-talk into direct shadow speech.",Write your inner dialogue. Ask AI to decode what the shadow is really saying.,Exposes suppressed drives and clears distortions.
Emotional Closure Ceremony,Stages a symbolic ending to something left open.,Describe a lingering situation. Ask AI to create a symbolic closure event or ritual.,Seals loops that otherwise drain emotional resources.
