Prompt,What it is,How to use it,What it changes
Subconscious Consumption Audit,"Analyzes the symbolic and emotional meaning of your media, food, and content intake.",List your daily inputs. Ask AI to decode the symbolic nourishment or depletion they carry.,Upgrades consumption to intentional symbolic feeding.
Symbolic Boundary Ritual,"Crafts a symbolic act to mark emotional, physical, or psychological boundaries.",Describe a situation where boundaries are weak. Ask AI to design a ritual that marks the limit.,Creates tangible symbolic boundary enforcement.
Repetitive Pattern Exorcism,Symbolically banishes a recurring life pattern as if it were an entity.,Describe a repeating issue. Ask AI to embody it and design a symbolic exorcism.,Gives psychological closure and detachment from self-sabotaging loops.
Self-Archive Reindexing,Reorganizes how you mentally file your life events and memories.,Describe major life events. Ask AI to relabel or recategorize them for coherence and empowerment.,Improves memory structure and emotional narrative clarity.
Symbolic Permission Slip,Grants yourself symbolic authorization to take a long-denied action.,Name a desire you suppress. Ask AI to write a symbolic permission note for you to act.,Shifts internal resistance into sanctioned momentum.
Projected Monster Identification Protocol,Reveals where others are scapegoated for your own disowned traits.,Describe someone you dislike. Ask AI what shadow part of you they symbolize.,Turns judgment into self-recovery insight.
Life-as-Lab Metaphor Frame,Reframes your experiences as an experimental research protocol.,"Describe a chaotic time. Ask AI to label your life as a symbolic experiment with control, variables, and hypotheses.",Shifts from victimhood to empowered discovery.
Symbolic Immune System Diagnosis,Evaluates what symbolic elements weaken or strengthen your psyche’s defenses.,Describe situations that leave you drained. Ask AI to analyze your symbolic immunity response.,Improves symbolic resilience against harmful narratives.
Archetypal Drainage Survey,Finds which roles you’re over-identifying with that lead to burnout.,Describe what roles you play often. Ask AI which ones drain your vitality and which replenish.,Optimizes role distribution in your inner theater.
Symbolic Time Loop Disruption,Breaks symbolic recurrence of time-wasting or unchanging cycles.,Describe a stagnant loop. Ask AI to describe the mythic structure and offer a ritual escape hatch.,Restores progression and exit from circularity.
