Prompt,What it is,How to use it,What it changes
Self-Sabotage Origin Trace,Identifies the protective purpose behind self-destructive behavior.,Describe a pattern of sabotage. Ask AI to trace its origin and purpose.,Transforms destructive loops into self-understanding.
Desire Deconstruction Lens,"Breaks desires into symbolic, emotional, and identity-based layers.",Name something you want. Ask AI to break down what each layer of that desire is actually aiming to fulfill.,Improves desire literacy and choice alignment.
Boundary Violation Archive,Compiles and analyzes moments where your boundaries were crossed.,List major moments of personal boundary violation. Ask AI to identify patterns and hidden lessons.,Increases assertiveness and self-respect protocol.
Attachment Script Analyzer,Examines your attachment style through relational micro-narratives.,Describe a few emotionally intense relationships. Ask AI to identify core attachment scripts playing out.,Clarifies attachment logic and enhances secure relating.
Micro-yes Calibration Tool,Tracks the little yesses that accumulate into life direction.,List recent choices that felt minor. Ask AI how they aggregate into trajectory.,Improves micro-decision consciousness and life path control.
Post-Trauma Pattern Finder,Identifies behavior loops formed in the aftermath of trauma.,Describe your behavior after a trauma. Ask AI to show how it reshaped your coping logic.,Exposes trauma adaptations and invites post-traumatic growth.
Subconscious Branding Review,Audits what image you're unconsciously projecting.,List your communication habits. Ask AI to identify what brand or impression they build.,Increases self-awareness and strategic congruence.
Ambition Trauma Filter,Detects if your goals are rooted in old emotional wounds.,"Describe a major ambition. Ask AI to scan for signs it was shaped by insecurity, shame, or rebellion.",Purifies ambition and reorients toward intrinsic aims.
Timeline Coherence Audit,Tests if your self-story is chronologically and emotionally integrated.,Describe your life phases. Ask AI to detect inconsistencies or fragmentation.,Improves internal narrative and psychological congruence.
Existential Positioning System (EPS),Locates where you are psychologically on your life’s existential map.,"Describe your current mindset. Ask AI to place you on a map of meaning, loss, seeking, or transcendence.",Grants meta-context and guides existential orientation.
