Prompt,What it is,How to use it,What it changes
Symbolic Debt Reclamation,Transforms emotional or energetic debts into symbolic agreements or closure rituals.,Describe what you feel you’re owed or owe. Ask AI to construct a symbolic reclamation.,Resolves energetic imbalance and lingering guilt.
Mythic Reversal Device,Inverts your worst failure into a symbolic prophecy or origin myth.,Describe the failure. Ask AI to reverse-engineer it into a symbolic seed of greatness.,Transmutes shame into mythic fuel.
Sacred Threshold Guardian,Identifies the part of you that resists transformation and gives it symbolic form.,Describe what’s holding you back. Ask AI to manifest it as a guardian testing your readiness.,Reframes inner resistance as initiation test.
Symbolic Mirror of Compassion,"Generates a symbolic reflection of your most hated trait, transformed with compassion.",Describe the trait. Ask AI to create a mythic image where it becomes sacred.,Restores love to disowned parts.
Mythic Devotion Index,Measures where your attention is symbolically worshipping without awareness.,List where your time goes. Ask AI to interpret what gods or forces it’s feeding.,Reveals hidden loyalties shaping destiny.
Symbolic Ritual of Absence,Designs a ceremony to honor what was lost but not grieved.,Describe the loss. Ask AI to design a sacred absence ritual.,Closes loops of lingering sorrow.
Sacred Double Life Converter,Integrates your hidden life into symbolic harmony with your public self.,Describe your split. Ask AI to perform a ritual merger of both identities.,Ends fragmentation and empowers coherence.
Mythic Code Breaker,"Deciphers symbolic messages in repeated numbers, dreams, or glitches.",List your recurring symbols. Ask AI to decode their mythic transmission.,Turns randomness into divine communication.
Symbolic Guilt Apothecary,Prescribes symbolic medicine to treat unresolved guilt.,Describe the guilt. Ask AI for a metaphorical remedy or mythic antidote.,Alleviates shame through imaginative healing.
Sacred Mirror Interrogation,Conducts a symbolic interrogation of your present self from the future.,Describe your current path. Ask AI to generate a dialogue with your mythic future self.,Creates moral accountability across time.
