Prompt,What it is,How to use it,What it changes
Mythic Despair Transmuter,Encodes despair into mythic substance to be rechanneled into symbolic fuel.,Describe the nature of your despair. Ask AI to transmute it into a mythic narrative or artifact.,Redirects despair into sacred creative energy.
Symbolic Threshold Guardian,Identifies what symbolic figure is blocking your transition to a new stage of life.,Describe what you can't move past. Ask AI to identify and speak as the symbolic guardian.,Names and negotiates passage with internal gatekeepers.
Psycho-Mythic Affliction Modeler,Renders chronic psychological states as symbolic afflictions or curses.,Describe a long-term struggle. Ask AI to turn it into a symbolic disease or haunting.,Gives spiritual weight and symbolic tools for healing.
Archetypal Betrayal Codex,"Decodes a betrayal into archetypal roles, motives, and lessons.",Describe the betrayal. Ask AI to symbolize each actor and interpret its mythic lesson.,Reframes hurt as mythic initiation into truth.
Symbolic Exile Initiation Rite,Marks your separation from the collective as sacred mythic exile.,Describe how you were rejected or left out. Ask AI to ritualize that exile.,Elevates marginalization into initiatory dignity.
Mythic Forgiveness Generator,Generates symbolic scenarios where forgiveness becomes mythically potent.,Describe a person or event you can’t forgive. Ask AI to ritualize forgiveness in mythic terms.,Unlocks forgiveness as a source of symbolic power.
Ritual Surrender Architecture,Designs a symbolic structure or location where one can surrender control safely.,Describe your resistance. Ask AI to architect a space for dignified surrender.,Houses release in a sacred symbolic framework.
Sacred Failure Embodiment,Embodies a failure as a symbolic figure who grants insight and transformation.,Describe your biggest failure. Ask AI to turn it into a being with a gift to offer.,Recontextualizes failure as a symbolic teacher.
Symbolic Void Cartographer,Maps the symbolic landscape of your psychological void.,Describe your emptiness. Ask AI to render it as mythic terrain and offer exploration tools.,Frames absence as navigable symbolic dimension.
Mythic Pattern Recurrence Diagnostic,Analyzes why your life keeps repeating mythic structures.,List recurring events. Ask AI to identify the symbolic pattern and its function.,Converts life loops into understood mythic motifs.
