Prompt,What it is,How to use it,What it changes
Symbolic Addiction Disenchantment,Strips the illusion from your addiction by portraying it as a cursed object.,Describe the addiction. Ask AI to render it as a cursed mythic item that drains power.,Breaks enchantment and reduces compulsive pull.
Mythic Replacement Ritual,Swaps a toxic habit or relationship with a symbolic counterpart that fulfills its role constructively.,Describe the toxic pattern. Ask AI to design a mythic substitute with the same psychic function.,"Provides transformation by preserving function, not form."
Psycho-Symbolic Pressure Valve,Designs a symbolic structure that lets you release internal tension without collapse.,Describe your mental pressure. Ask AI to design a ritual or symbol for safe release.,Enables sustainable catharsis without breakdown.
Symbolic Ordeal Ladder,Turns your suffering into a series of intentional symbolic trials.,List your recent pain. Ask AI to sequence them as mythic ordeals toward transcendence.,Elevates pain into a structured ladder of transformation.
Internal Gatekeeper Codex,Identifies internal protectors that block progress and interprets their symbolic roles.,List your resistance. Ask AI to name and explain the symbolic gatekeepers behind it.,Negotiates resistance by respecting internal boundaries.
Symbolic Vow Reinforcement Ritual,Creates a mythic vow ceremony to bind your intent to action.,Describe your goal. Ask AI to ritualize the commitment in symbolic terms.,Turns loose intent into sacred obligation.
Destruction Oracle,Asks what must symbolically die for your life to regenerate.,Name what’s no longer working. Ask AI what part of identity must be sacrificed.,Clarifies necessity of loss and accelerates rebirth.
Mythic Wound Inscription,Turns your deepest wound into a sacred script that defines your purpose.,Describe your pain. Ask AI to inscribe it as mythic writing across your symbolic form.,Reclaims suffering as identity-shaping text.
Symbolic House of the Forgotten Self,Builds a symbolic home for the part of you you abandoned.,Name what you neglected. Ask AI to create a house for its return.,Restores dignity to buried identities and welcomes their voice.
Sacred Boundary Cartographer,Maps the symbolic edge of what you are no longer willing to tolerate.,List recent violations. Ask AI to construct the symbolic perimeter that ends them.,Defines psychic sovereignty and enforces inner law.
