Prompt,What it is,How to use it,What it changes
Reciprocity Truth Detector,Measures imbalance in relational give-and-take.,"List people you give to often. Ask AI to calculate reciprocity ratios, emotionally and energetically.",Reveals hidden one-sidedness and refines social investment.
Time Investment Autopsy,Analyzes how your time use reflects or contradicts your values.,Describe your week. Ask AI to compare time spent vs. your stated goals and identity.,Highlights misalignments and reclaims narrative control.
Unlived Life Investigator,Explores the version of you that could’ve emerged if fear wasn’t present.,Describe what you almost became. Ask AI to model how that version of you would think and act now.,Reconciles regret with imagination and agency.
Enmeshment Exit Protocol,Helps disentangle identity from toxic relational fusion.,Describe a person you lose yourself around. Ask AI to generate a system of separation without rupture.,Builds individuation and relational clarity.
Symbolic Nourishment Plan,Prescribes forms of nourishment based on emotional hunger types.,"Describe your persistent longing. Ask AI to list activities, art, or experiences to symbolically feed it.",Turns emotional void into a creative sourcing ritual.
Inner Critic Archetype Decoder,Unmasks your inner critic’s voice as a symbolic character.,Write your inner critic’s recent words. Ask AI to decode which archetype or past authority they represent.,Separates self from shame by externalizing judgment.
Attention Gravity Field,Models the gravitational center of your daily attention patterns.,Describe what grabs your attention most often. Ask AI to locate the hidden need beneath the fixation.,Reorients distraction into intentional attention strategy.
Emotional Vantage Shift,Changes your emotional interpretation by shifting observer position.,"Describe a recent emotional experience. Ask AI to describe it as if observed by your future self, a stranger, and an enemy.",Defuses intensity and reveals multiple truths simultaneously.
Choice Echo Modeler,Simulates the probable emotional echo of a decision over time.,"Name a choice. Ask AI to model its echo at 1 week, 1 month, and 1 year emotionally, relationally, and symbolically.",Improves foresight and deep-time decision logic.
Emotional Drain Swap,Replaces emotionally draining actions with high-yield emotional analogs.,List activities that drain you. Ask AI for replacements that serve the same function with emotional profit.,Increases emotional ROI and reduces burnout.
