Prompt,What it is,How to use it,What it changes
Emotional Consent Scanner,Identifies where you've given silent or coerced emotional agreement.,"Describe a recent situation where you complied emotionally. Ask AI whether consent was real, strategic, or survival-based.",Restores agency and emotional boundaries.
False Future Forecast,Reveals predictions you're making about the future that are secretly disempowering you.,Describe a goal or fear. Ask AI to uncover assumed outcomes that are limiting choice.,Expands perceived future possibilities.
Energetic Debt Ledger,"Tallies where you owe yourself rest, truth, or expression.",Describe your week. Ask AI to identify emotional or energetic deficits.,Balances self-investment and output.
Social Mask Wear Log,Tracks the personas you wear in different social environments.,Describe your behavior across contexts. Ask AI to define which masks are active and why.,Builds awareness of performed vs. authentic identity.
Shadow Virtue Mirror,Exposes the darker motives beneath surface-level virtues.,"List traits you’re proud of. Ask AI to reveal possible shadow drivers behind them (e.g., control, shame, fear).",Increases emotional and moral complexity.
Emotional Relapse Recovery Path,Creates a symbolic and behavioral recovery loop after emotional regression.,Describe a moment where you felt like you regressed emotionally. Ask AI for a 3-stage recovery ritual.,Normalizes regression and builds emotional stamina.
Unmet Expectation Deconstruction,Unpacks the internal narrative behind a letdown or disappointment.,Describe a moment of disappointment. Ask AI what narrative or hope was violated.,Extracts story-based triggers from emotional data.
Self-Extraction Simulation,Models how you’d rescue yourself from an environment that doesn’t allow growth.,"Describe your current context. Ask AI for 3 escape vectors: symbolic, strategic, and relational.",Restores agency in stasis or stagnation.
Ally Archetype Activation,Creates a fictional inner mentor based on your deepest values.,Describe your values and needs. Ask AI to embody them in an ally that gives tailored advice.,Internalizes support and increases guidance access.
Self-Sabotage Contract Decoder,Interprets sabotage behaviors as subconscious protection strategies.,Describe a self-sabotaging pattern. Ask AI to explain the contract it serves.,Transforms punishment into compassion and reprogramming.
