Prompt,What it is,How to use it,What it changes
Archetypal Mirror Duel,Confronts a symbolic version of yourself that embodies your most rejected traits.,Ask AI to generate a symbolic confrontation between you and your least acceptable self.,Reintegrates rejected traits through mythic conflict.
Sacred Delay Interpreter,"Analyzes symbolic meaning in recurring delays, failures, or inaction.",Describe repeated blockage. Ask AI to assign symbolic meaning to delay.,Turns procrastination into interpretable guidance.
Mythic Lineage Invocation,Calls upon symbolic ancestors—real or imagined—to empower your present action.,Name your lineage. Ask AI to describe symbolic figures from that history guiding your path.,Strengthens agency by mythically rooting identity.
Symbolic Temptation Framework,Models your most dangerous habits as symbolic seducers.,List addictive or destructive impulses. Ask AI to mythologize each as a temptress or trap.,Enables ritual resistance through narrative archetypes.
Internal Season Generator,Determines which symbolic season your inner world is in.,Describe your current mindset. Ask AI to align it to a mythic season with meaning.,Creates awareness of internal cycles and timing.
Symbolic Relapse Antidote,Designs mythic deterrents against falling back into old patterns.,State a past relapse. Ask AI to encode symbolic defense mechanisms for future resistance.,Symbolizes vigilance and honors progress.
Mythic Silence Interpreter,Analyzes what a lack of response or feeling truly means symbolically.,Describe emotional or interpersonal silence. Ask AI to decode its mythic function.,Finds purpose in absence and non-expression.
Ego Sacrifice Effigy,Manifests the part of your ego that must be symbolically sacrificed.,Ask AI to build an effigy of your ego-structure that is no longer serving.,Facilitates psychic rebirth through symbolized offering.
Symbolic Future Collapse Predictor,Forecasts where your identity will collapse unless a new myth emerges.,Describe your trajectory. Ask AI to predict symbolic collapse points and propose mythic buffers.,Prepares identity for evolution through mythic foresight.
Mythic Boundary Defender,Creates a symbolic guardian who protects your energy and sacred space.,Describe your need for protection. Ask AI to design a guardian with symbolic strength.,Reclaims agency by constructing mythic defense systems.
