Prompt,What it is,How to use it,What it changes
Sacred Disintegration Mapping,Charts where you're falling apart and frames it as sacred symbolic dismantling.,Describe current instability. Ask AI to map each disintegration into symbolic purpose.,Turns breakdown into sacred symbolic necessity.
Symbolic Lie Extraction Surgery,Identifies internalized falsehoods and removes them through symbolic surgical metaphor.,State your limiting belief. Ask AI to extract it as a toxic implant through ritualized metaphor.,Removes deception embedded in identity structure.
Mythic Resurrection Architecture,Builds a structure for rebirth after ego collapse or crisis.,Describe what died. Ask AI to build symbolic resurrection scaffolding and initiate reentry.,Provides symbolic housing for the emergence of the new self.
Trauma Tithe Mechanism,Designs a system where symbolic fragments of trauma are offered ritually as power sources.,Describe a recurring trauma. Ask AI to tithe symbolic essence from it toward growth.,Channels pain into structured sacred sacrifice.
Narrative Possibility Prism,Expands your current identity story into dozens of symbolic alternate futures.,State your life path. Ask AI to split it into mythic narrative forks with symbolic identities.,Unlocks latent paths and multiplicity of self.
Symbolic Burden Redistribution Ritual,Distributes psychic burdens across symbolic anchors to reduce load.,Name your heaviest emotion. Ask AI to split its weight into symbolic carriers.,Lightens psyche by decentralizing emotional mass.
Shadow Testimony Tribunal,Stages a tribunal where your shadow gives testimony for its actions.,Describe what sabotaged you. Ask AI to render the shadow’s perspective in court.,Illuminates hidden motivations and reconciles intent.
Mythic Discipline Construction Kit,Builds symbolic rituals and consequences to reinforce self-discipline.,State your failing habit. Ask AI to design mythic penalties and rituals to support change.,Converts willpower into sacred symbolic reinforcement.
Symbolic Redemption Index,Quantifies and visualizes the stages of redemption symbolically.,Describe a failure or guilt. Ask AI to score its symbolic path to redemption.,Makes atonement visible and structurally attainable.
Icon of the Unacknowledged Self,Creates a visual or narrative symbol representing the part of you no one sees.,Ask AI to generate a symbolic artifact for the invisible version of yourself.,Grants identity to the unseen and activates its force.
