Prompt,What it is,How to use it,What it changes
Archetypal Influence Map,Identifies which archetypes are currently active within your psyche.,Describe current moods and actions. Ask AI to assign symbolic archetypes and show their influence.,Provides a mythic map of internal forces to inform alignment or redirection.
Symbolic Guilt Transfer Ritual,Creates a mythic act that extracts guilt and transfers it into symbolic form.,"Describe guilt source. Ask AI to externalize it as an object, burnable or transformable.",Releases emotional burden while retaining symbolic accountability.
Sacred Scar Mapping,Charts emotional scars across symbolic space like a mythic constellation.,"List wounds. Ask AI to turn them into stars, connect them into a sacred meaning pattern.",Renders pain as part of a coherent symbolic cosmos.
Mythic Witness Generator,Creates an eternal archetype who has seen everything you've endured.,Describe your hidden suffering. Ask AI to summon a symbolic witness.,Installs emotional validation and removes the burden of invisibility.
Symbolic Shadow Trial,Puts your darkest self on mythic trial to learn from its testimony.,Describe your shadow. Ask AI to hold a symbolic courtroom drama.,Extracts purpose and intelligence from your destructive instincts.
Sacred Conflict Simulator,Constructs a symbolic simulation of a difficult relationship or argument.,Describe the other person and issue. Ask AI to simulate mythic interaction outcomes.,Enables pattern detection and emotional rehearsal in symbolic safety.
Mythic Anchor Statement,Builds a symbolic sentence that grounds you during dissociation or panic.,Describe what destabilizes you. Ask AI to return a sacred sentence.,Provides tethering language during psychological fragmentation.
Symbolic Blindspot Decoder,Uses symbolic logic to reveal what you habitually overlook.,Describe your goal. Ask AI what internal force sabotages your awareness.,Unmasks hidden resistance and blocked clarity.
Sacred Grudge Altar,"Builds a symbolic altar where your anger is honored, then transmuted.",Name the grudge. Ask AI to construct the altar and guide the symbolic release.,Heals resentment while preserving self-respect.
Mythic Decision Dice,Creates a symbolic dice set for decision-making that incorporates fate and archetype.,Describe your decision. Ask AI to define 6 symbolic outcomes and roll mythically.,Builds trust in subconscious preference and cosmic narrative logic.
