Prompt,What it is,How to use it,What it changes
Gratitude Rewiring Circuit,Creates a habit of seeing micro-moments of grace as emotional infrastructure.,List moments you felt slightly moved or relieved. Ask AI to connect them to deeper emotional needs being met.,Builds neural pathways of gratitude grounded in survival and meaning.
Crisis Narrative Rewrite,"Reframes a past crisis to extract symbolic, relational, and character-level value.","Describe a past crisis. Ask AI to re-narrate it as a mythic trial, moral threshold, or signal of emergence.",Replaces shame with narrative power and continuity.
Unconscious Consent Revoker,"Identifies where you’ve silently agreed to roles, treatment, or identities that harm you.",List dynamics that drain you. Ask AI to find where you gave passive consent and generate symbolic revocation.,Ends unconscious participation in self-erasing systems.
Wound as Weapon Alchemy,Turns a core wound into a symbolic source of protection or precision.,Name a wound you revisit often. Ask AI to alchemize it into a capacity you now wield.,Creates self-empowerment from rupture.
Relational Reverb Tracker,Analyzes how each interaction changes your emotional state and behavior afterward.,"List recent interactions. Ask AI what signal or trigger each left behind, and what pattern they form.",Builds sensitivity to energetic residue and influence.
Shame Debris Locator,Scans your language and silence for embedded shame fragments.,Share recent self-descriptions. Ask AI to identify where internalized shame distorts identity.,Extracts shame infection from identity narration.
Voice Reclamation Mirror,Amplifies parts of your voice that were silenced or shamed.,Write a suppressed truth. Ask AI to rewrite it boldly and without apology.,Recovers suppressed identity strands through narrative fierceness.
Need Translation Engine,"Translates unmet needs into direct, relationship-safe language.",Describe a conflict. Ask AI to extract the unmet need and rephrase it non-defensively.,Reduces relational volatility and increases emotional literacy.
Inherited Belief Autopsy,Dissects a belief to determine if it’s yours or inherited.,Name a belief. Ask AI to trace its origin and whether it aligns with your lived experience.,Disentangles identity from legacy programming.
Life Theme Harmonics Analyzer,Finds repeating emotional patterns that form the harmonic of your life’s lessons.,List emotional peaks and valleys. Ask AI to identify the repeating note beneath them all.,Creates coherence across life chapters.
