Prompt,What it is,How to use it,What it changes
Symbolic Shame Purification Rite,Transforms toxic shame into a symbolic cleansing ritual.,Describe what you feel ashamed about. Ask AI to design a mythic purification process to expel it.,Converts shame into sacred accountability and freedom.
Personal Apocalypse Symbol Generator,Identifies what needs to collapse for you to change and renders it symbolically.,Ask AI: ‘What symbolic event must destroy me to free me?’,Enables cathartic collapse as creative transformation.
Symbolic Self-Eulogy Creator,Writes a eulogy for the version of you that must now end.,Describe the self you’re leaving behind. Ask AI to eulogize that self with honor and finality.,Grants closure and ritual separation from outdated identities.
Emotion-to-Element Translator,Turns emotions into natural elements for alchemical transformation.,List emotions you’ve been holding. Ask AI to assign elemental forms and design a transmutation.,Reorganizes emotional energy into a symbolic chemistry.
Core Desire Invocation Circuit,Builds a symbolic circuit that channels your truest desire into daily behavior.,Name your deepest desire. Ask AI to build a circuit of symbolic actions and motifs.,Bridges longing and action through ritual structure.
Archetypal Mentor Summoning,Creates a custom symbolic guide based on your current challenge.,Describe your current struggle. Ask AI to generate a symbolic mentor to walk with you through it.,Grants psychic companionship and intuitive guidance.
Psychic Boundary Field Diagnostic,Scans your psychic boundaries for where others intrude symbolically.,List your draining interactions. Ask AI to detect symbolic breaches and install boundary reinforcements.,Repairs self-containment and autonomy.
False Desire Extraction Kit,Removes socially programmed or trauma-driven desires not truly yours.,"Name a goal. Ask AI whether it’s authentic or implanted, and extract it if necessary.",Reveals the true desire hidden beneath noise.
Mythic Value Realignment Grid,Realigns your value system into a coherent symbolic architecture.,List your current values. Ask AI to restructure them into mythic symbolic coherence.,Unifies identity around a symbolic code of ethics.
Symbolic Containment Vessel Design,Designs an internal vessel to hold volatile emotion until you can metabolize it.,Describe an overwhelming feeling. Ask AI to build a symbolic containment ritual or structure.,Prevents emotional flooding and enables safe processing.
