Prompt,What it is,How to use it,What it changes
Psycho-Semantic Drift Detector,"Identifies when a word, label, or concept you use has shifted in meaning internally.",List identity terms or self-descriptions. Ask AI if any now hold different emotional or symbolic weight.,Restores linguistic alignment with self-concept.
Truth Distortion Audit,"Scans for ways you distort your truth to manage approval, safety, or clarity.",Describe a time you told the truth. Ask AI to identify distortions and what they served.,Increases truth precision and congruence.
Symbolic Survival Analysis,Identifies the symbolic currency that once kept you safe and now limits you.,Describe what traits helped you survive. Ask AI to assess if they now restrict growth.,Rewrites survival logic as growth strategy.
Delayed Grief Activation Sequence,Unlocks grief that has been deferred or buried.,Describe an event you haven’t grieved fully. Ask AI to simulate an activation sequence to open the channel.,Allows long-frozen grief to metabolize.
Mythic Biography Rewrite,"Turns your biography into a mythic arc with thresholds, symbols, and trials.","Describe your life stages. Ask AI to reframe them as part of a hero’s journey, epic, or legend.",Upgrades identity from linear to symbolic.
Energetic Pattern Interruptor,"Detects repeating mood, posture, or behavior loops.",List your emotional state across several days. Ask AI for energetic or behavioral loops and a pattern-breaking gesture.,Interrupts trance cycles and restarts momentum.
Dream-to-Waking Action Mapper,Extracts actionable insights from symbolic dream data.,Describe a dream. Ask AI to translate key symbols into specific waking actions.,Bridges unconscious guidance to real-world steps.
Allegiance Contract Re-evaluation,Finds identity-level loyalties you’ve outgrown but still serve.,Describe groups or ideals you once aligned with. Ask AI to simulate a conscious renegotiation.,Updates unconscious loyalty frameworks.
Symbolic Vocabulary Expansion,Expands your emotional-symbolic lexicon to increase expression range.,"Describe a stuck feeling. Ask AI for new symbolic words, imagery, and metaphors to name it more precisely.",Increases expressive power and emotional literacy.
Relational Myth Deconstruction,"Dissects myths you carry about love, friendship, or loyalty.",Describe a relational pattern. Ask AI to identify the mythic narrative behind it and whether to evolve it.,Decouples identity from inherited relational scripts.
