Prompt,What it is,How to use it,What it changes
Mythic Addiction Binding,Binds an addiction to a symbolic entity that can be banished.,Name the addiction. Ask AI to embody it as a banishable demon with rituals.,Creates narrative separation and control over compulsion.
Symbolic Reparenting Temple,Constructs a sacred internal temple where your inner child is reparented symbolically.,Describe your unmet needs. Ask AI to build a mythic parenting sanctuary.,Heals developmental trauma through symbolic repair.
Sacred Identity Fragment Map,Visualizes identity fragments and gives them symbolic roles in a psychic council.,List conflicting traits. Ask AI to create a symbolic map of your inner factions.,Unifies fractured identity under symbolic governance.
Mythic Scarification Codex,Turns your past traumas into sacred markings that signify earned wisdom.,List past harms. Ask AI to ritualize them as symbolic scars with meaning.,Rewrites trauma as sacred badge of insight.
Symbolic Invocation of Impossible Grace,Summons grace into a situation that seems beyond redemption.,Describe the situation. Ask AI to channel a mythic source of undeserved mercy.,Restores hope where logic would reject it.
Mythic Sleep Chamber,"Designs a symbolic ritual space to promote deep, myth-infused rest.",Describe sleep troubles. Ask AI to build a mythic dream chamber.,Transforms rest into sacred regenerative ritual.
Symbolic Hunger Decoder,Interprets obsessive cravings as symbolic needs misnamed.,Describe a recurring craving. Ask AI to decode its true psychic origin.,Separates need from compulsion by clarifying root cause.
Sacred Sacrilege Dismantler,Identifies sacred beliefs you've outgrown and ritualizes their dismantling.,Name the belief. Ask AI to perform a symbolic demolition ritual.,Releases false sacredness with honor and precision.
Symbolic Mirror Reversal,Shows who you become if you follow your current path too long.,Describe your pattern. Ask AI to project the mythic end-state as warning.,Creates corrective foresight through symbolic time travel.
Mythic Center Reclamation,Locates the symbolic center of your psyche and restores it.,Describe your sense of self. Ask AI to construct and fortify the sacred core.,Stabilizes identity around symbolic axis.
