Prompt,What it is,How to use it,What it changes
Symbolic Inner Court Assembly,Convenes symbolic figures representing your inner parts for dialogue and judgment.,Name conflicting desires or identities. Ask AI to generate symbolic members for an internal court.,Mediates internal chaos through structured symbolic governance.
Mythic Trauma Armor Repurposing,Turns symbolic armor you built from trauma into tools for conscious use.,Describe how you protect yourself emotionally. Ask AI to transform it into symbolic tools.,Frees defensive energy for constructive action.
Dissolution Threshold Cartographer,Maps the threshold beyond which your current self can’t survive—and must dissolve.,Describe your existential limit. Ask AI to chart the symbolic terrain around that edge.,Normalizes ego death as ritualized transformation.
Symbolic Inheritance Decoder,Translates generational trauma or family patterns into symbolic lessons or weapons.,List inherited burdens. Ask AI to decode their symbolic utility.,Extracts meaning and gifts from ancestral wounds.
False Light Exposure Ritual,"Unmasks beliefs, people, or identities masquerading as spiritual or moral truths.",Describe what felt like truth but became manipulation. Ask AI to symbolically strip its illusion.,Separates false sanctity from authentic inner light.
Symbolic Surrender Ceremony,Designs a symbolic act of letting go when agency no longer works.,Describe what you’ve failed to control. Ask AI to create a sacred surrender action.,Shifts the psyche into aligned trust and release.
Shadow Exodus Blueprint,Constructs a symbolic escape plan from shadow-dominated identity structures.,Describe your most self-sabotaging traits. Ask AI to build a mythic exodus strategy.,Symbolically liberates you from shadow control.
Narrative Possession Exorcism,Detects when your story is being written by others or outdated forces.,Ask AI what narrative is possessing you. Design a symbolic rite to cast it out.,Restores authorship over your own life myth.
Symbolic Grief Resurrection Loop,Identifies how grief repeats and how to resurrect what it protects.,Name your recurring grief. Ask AI to find the lost symbolic object and resurrect its meaning.,Breaks grief cycles by resurrecting buried vitality.
Mythic Dissonance Harvester,Extracts symbolic raw material from internal conflict.,Describe an internal contradiction. Ask AI to alchemize the tension into a usable symbolic artifact.,Turns dissonance into spiritual yield and insight.
