Prompt,What it is,How to use it,What it changes
Shame Function Recode,Rewrites how you process and react to shame as a signal.,Describe a moment you felt shame. Ask AI what the shame might be trying to protect or instruct.,Turns shame into a directional tool instead of a stop sign.
Psychic Border Clarifier,Distinguishes what emotions or thoughts are yours vs. absorbed from others.,Describe your internal state after socializing. Ask AI to filter borrowed energy or narratives.,Protects identity coherence and reduces emotional entanglement.
Reward Loop Reset,Identifies broken feedback cycles in motivation.,Describe a project you're avoiding. Ask AI what false reward loops or mismatched feedback mechanisms may be involved.,Recalibrates intrinsic vs. extrinsic motivation triggers.
Reality Contact Sensor,"Tests whether your current beliefs or fears are based on fact, memory, or distortion.","Describe a belief or fear. Ask AI to classify its origin: data, experience, projection, or avoidance.",Improves epistemic hygiene and reduces anxiety from illusion.
Stagnation Signal Decoder,Translates the feeling of being stuck into actionable insight.,Describe a life area you feel numb or static in. Ask AI what the stuckness is trying to signal or protect.,Restores movement and meaning where entropy has set in.
Emotional Risk Budget,Quantifies how much vulnerability you’re emotionally budgeting for key relationships.,List your core relationships. Ask AI to model how much risk or honesty each one can withstand.,Optimizes emotional investments and expands intimacy literacy.
Compulsion Deconstruction Loop,Breaks down compulsive behavior into root needs and avoidances.,"Describe a compulsion. Ask AI to simulate its full emotional, cognitive, and symbolic architecture.",Reveals the unmet need inside behavioral loops.
Healing Forecast Model,Predictive model for your psychological and emotional growth timeline.,"Describe your current healing focus. Ask AI to estimate potential shifts at 1 month, 3 months, 1 year.",Builds long-range emotional strategy and sustains motivation.
Symbolic Consumption Audit,"Analyzes the meaning structure of what you consume (media, food, aesthetics).",List your recent choices. Ask AI to decode the hidden themes or needs driving them.,Turns consumption into an act of self-reflection.
False Hope Extractor,Detects where you're feeding on fantasy instead of facts.,Describe something you’re waiting for. Ask AI what part of it is avoidant wishful thinking.,Shifts agency from delay to action by collapsing illusion.
