Prompt,What it is,How to use it,What it changes
Symbolic Vow Review Tribunal,Surfaces unconscious vows made in moments of pain or intensity.,Describe patterns of avoidance or rigidity. Ask AI if they stem from symbolic vows you may have made (e.g. 'never again').,Releases outdated contracts made under duress.
Inner Authority Recalibration,Rebuilds your internal authority figure from projection to presence.,Describe how you judge yourself. Ask AI to reframe that authority into a wise internal guide.,Transforms fear-based self-regulation into mentorship.
Symbolic Wound Camouflage Detector,Identifies where strength is actually a cover for woundedness.,Describe an area of pride or perfectionism. Ask AI if it’s hiding a symbolic wound.,Reveals what needs healing beneath competence.
Energetic Debt Ledger,Audits where you’re over-giving or under-receiving symbolically or emotionally.,List your core relationships. Ask AI to calculate energetic imbalances and suggest corrective actions.,Rebuilds fairness and reciprocity.
Symbolic Gravity Simulation,Simulates what principles or people exert the most gravitational pull on your psyche.,Describe your decision-making tendencies. Ask AI what ‘massive bodies’ your orbit bends around.,Reorients your center of self-gravity.
Mythic Future Projection,Generates future visions in mythic rather than practical language.,Ask AI to describe your future as if it were a mythic legend.,Re-enchants purpose and direction.
Psycho-Temporal Displacement Detector,Finds where you mentally live in past or future to avoid the present.,Describe your thought patterns. Ask AI what temporal distortions you engage in and how to re-anchor.,Reclaims presence from displacement.
Internalized Voice Purifier,"Distinguishes your authentic voice from internalized voices of parents, peers, or culture.",Write a self-judgment. Ask AI who that voice belongs to and rewrite it in your own terms.,Restores authorship of self-narrative.
Symbolic Rebirth Countdown,Stages your identity evolution in symbolic countdown form.,"Describe a life transition. Ask AI to count down 5 stages to a new self-symbolically (e.g., 5 ashes, 4 cracks…).",Makes identity change trackable and poetic.
Emotional Weather Report,Translates your current emotional state into symbolic weather patterns.,Describe your mood. Ask AI to return a weather forecast-style metaphorical report.,Names feelings in digestible symbolic form.
