Prompt,What it is,How to use it,What it changes
False Self Extraction,Identifies parts of your personality built for survival rather than authenticity.,Describe your behavior in high-stakes situations. Ask AI to isolate which traits serve safety over truth.,Restores contact with the authentic self and enables congruent expression.
Interpersonal Energy Grid,Maps who charges and drains your emotional energy.,List your regular interactions. Ask AI to model your net energetic gain or loss from each person.,Improves boundary hygiene and social selection.
Identity Fractal Expander,Explores the unexpressed sub-identities within your personality matrix.,Describe your dominant traits. Ask AI to speculate on the hidden or repressed counterparts.,Expands self-concept complexity and unlocks untapped behavior patterns.
Safety-Honesty Ratio Calculator,Estimates how much truth you're sacrificing for safety.,Describe your behavior in a risky relationship. Ask AI to calculate the ratio of honesty to self-protection.,Clarifies communication trade-offs and supports calculated transparency.
Subconscious Debt Ledger,Reveals emotional debts you believe you still owe or are owed.,"List lingering conflicts. Ask AI to detect unspoken debts of guilt, shame, or obligation.",Facilitates reconciliation and unburdens identity.
Autonomy Friction Index,Quantifies where and how you're unconsciously sabotaging your independence.,Describe three areas where you feel stuck. Ask AI to find internal dependency loops.,Increases psychological freedom and strategic self-reliance.
Emotional Bypass Revealer,Detects when you're using spiritual or intellectual tools to skip emotional processing.,Describe a recent spiritual or philosophical insight. Ask AI if it’s being used to avoid a feeling.,Restores emotional integration and stops spiritual detachment loops.
Consequence Echo Finder,Traces how past actions are still generating consequences today.,Describe a regret. Ask AI how the ripple of that choice is still manifesting.,Makes karmic chains visible and guides corrective action.
Phantom Validation Sensor,Detects approval-seeking that masquerades as authenticity.,Describe something you posted or shared. Ask AI to assess what percentage was for real connection vs. status.,Recalibrates social intention and promotes sincere expression.
Wound-Spending Index,Reveals how much energy you're spending to avoid re-experiencing a wound.,Describe a protective pattern. Ask AI to calculate how much bandwidth it consumes to maintain.,Frees up life-force previously spent on defense.
