Prompt,What it is,How to use it,What it changes
Emotional Armor Inventory,Catalogs the symbolic defenses you wear to protect against emotional pain.,Describe how you react when vulnerable. Ask AI to list the symbolic armors and their side effects.,Replaces rigid defenses with conscious protection strategies.
Self-Deification Protocol,Symbolically reclaims suppressed power by mapping divine traits onto the self.,"Ask AI: ‘If I were a deity, what would my dominion, rituals, and mythos be?’",Restores access to repressed personal sovereignty.
Ancestral Symbolic Currency Audit,Analyzes the symbolic values passed down from ancestors and their emotional economy.,List values or behaviors from family. Ask AI to trace the symbolic economy of those inherited currencies.,Breaks generational compulsion loops.
Recurrent Environment Symbol Scan,Finds symbolic meaning in your repeated physical spaces and environmental setups.,Describe your rooms or locations you frequent. Ask AI what symbolic messages your space encodes.,Turns passive context into meaningful influence.
Symbolic Failure Redemption Cycle,"Reframes each failure as a symbolic rite, lesson, or metamorphosis phase.",List your biggest failures. Ask AI how each one symbolically advances your transformation.,Rewrites the emotional gravity of failure into momentum.
Subconscious Architecture Blueprint,"Visualizes the structure of your unconscious as symbolic rooms, doors, or layouts.",Ask AI to describe the symbolic floor plan of your psyche and what each room holds.,Creates a mental map for navigating inner complexity.
Belief Fossil Excavation Kit,"Unearths ancient, outdated beliefs buried in your emotional strata.",Describe your oldest assumptions. Ask AI to simulate an excavation and label each symbolic fossil.,Makes outdated beliefs visible for intentional replacement.
Emotional Shock Absorber Mapping,Traces how you buffer against sudden emotional impact.,Describe a recent jolt. Ask AI how your psyche cushioned it and what symbolic mechanism took the hit.,Enhances self-awareness of emotional resilience systems.
Symbolic Reparenting Directive,Designs rituals to symbolically parent the part of you that never received what it needed.,Describe unmet childhood needs. Ask AI to design symbolic caretaking rituals.,Fills emotional gaps through structured symbolic nurture.
Hidden Gift Detection Radar,"Locates talents or instincts that were shamed, ignored, or punished into hiding.",Describe moments of suppression. Ask AI what latent gift was being blocked.,Recovers disowned potential.
