Prompt,What it is,How to use it,What it changes
Imposter Syndrome Data Extractor,Identifies what you believe disqualifies you from legitimacy.,"Describe where you feel like a fraud. Ask AI to find the source, logic, and contradiction of that belief.",Weakens self-doubt with factual and symbolic evidence.
Emotional Supply Chain Audit,Traces where your emotional energy comes from and where it flows.,Describe your emotional highs and lows over a week. Ask AI to map the sources and outlets.,"Reveals energy leaks, dependencies, and charging rituals."
False Self Map,Reconstructs the persona you use to survive or perform.,Describe moments where you felt inauthentic. Ask AI to model what traits you disown or overuse.,Clarifies the architecture of persona vs. self.
Existential Belief Inventory,"Compiles your unconscious beliefs about life, death, meaning, and suffering.",Answer questions about purpose and existence. Ask AI to extract implicit assumptions and conflicts.,Makes your existential code explicit and editable.
Reparenting Simulation Loop,Simulates a parental figure giving the unmet response you needed.,"Describe a moment of neglect or hurt. Ask AI to play the parent you needed, saying what should’ve been said.",Heals attachment wounds and rewires self-narrative.
Fictionalized Self-Coaching,"Uses a stylized, narrative version of yourself to deliver advice.","Describe your persona as a mythic, noir, cyberpunk, or fantasy character. Ask that version to give you counsel.",Bypasses resistance using narrative dissociation.
Burnout Root Identifier,Distinguishes surface exhaustion from symbolic depletion.,"Describe your burnout symptoms. Ask AI to trace whether the root is misalignment, avoidance, or grief.",Prevents treating burnout as only energy loss.
Intimacy Block Inventory,Lists the psychological barriers preventing deep connection.,"Describe your last few intimate connections. Ask AI to identify fear-based, belief-based, and behavioral blocks.",Reconstructs intimacy capacity through obstacle clarity.
Emotion-to-Action Bridge,Translates emotional states into strategic behavioral plans.,"Describe an overwhelming feeling. Ask AI for 3 symbolic, 3 relational, and 3 logistical actions it invites.",Turns emotion into integrated transformation drivers.
Identity Shift Integration Plan,Designs a gradual integration path for an evolving self-concept.,"Describe your old and new identity poles. Ask AI to build a symbolic, relational, and ritualized bridge between them.",Avoids identity whiplash and supports transition pacing.
