Prompt,What it is,How to use it,What it changes
Symbolic Self-Mirroring Chamber,Constructs a symbolic reflection room to encounter your current psychic image.,Ask AI to describe what your inner world would look like if turned into a symbolic mirror chamber.,Externalizes subconscious self-image for inspection and redesign.
Metaphorical Life Audit,Evaluates your life phases through metaphor rather than chronology.,"Describe your life in symbolic chapters (e.g., 'the cave', 'the burning bridge'). Ask AI to label transitions.",Creates mythic cohesion across lived experience.
Inner Rebellion Design Lab,Designs symbolic rebellions against the version of you that stayed small.,Describe your suppressed instincts. Ask AI to architect symbolic protests that reassert aliveness.,Restores agency and emotional vitality.
Somatic Symbol Translator,Translates recurring physical symptoms into symbolic messages.,"Name a chronic sensation (tight chest, jaw pain, etc). Ask AI to offer symbolic interpretations.",Links body states to unspoken emotional needs.
Narrative Horizon Broadener,Detects when your perceived future is too narrow or pre-scripted.,Describe your future vision. Ask AI to generate 5 radical alternate symbolic futures.,Restores optionality and imagination.
Symbolic Emotional Refuge Builder,Constructs an internal symbolic structure where rejected emotions can safely be felt.,Describe an emotion you suppress. Ask AI to build a safe symbolic house for it.,Creates inner capacity to metabolize overwhelming feelings.
Value System Source Code Review,Deconstructs the origin story of your core values.,List your top values. Ask AI to trace when and why each value was adopted.,Refines inherited morality into conscious choice.
Self-Other Boundary Mapping,Visualizes the energetic and symbolic lines between you and others.,Describe a confusing relationship. Ask AI to map symbolic oversteps and gaps in boundary lines.,Clarifies relational terrain and rebuilds sovereignty.
Mythic Pattern Recurrence Tracker,Finds mythic or literary patterns repeating across your life events.,List formative events. Ask AI to match them to archetypal story beats.,Identifies your personal mythic script.
Psycho-Symbolic Scar Index,Catalogs psychic scar tissue and where symbolic calcification limits growth.,Describe recurring emotional pain. Ask AI to identify the scar pattern and design symbolic softening.,Promotes healing where armor became prison.
