Prompt,What it is,How to use it,What it changes
Symbolic Shame Transfiguration,Transforms shame into sacred energy through symbolic ritualization.,Name what you’re ashamed of. Ask AI to sanctify it into mythic origin power.,Converts emotional poison into spiritual charge.
Mythic Gratitude Furnace,Burns gratitude into symbolic fuel that powers identity.,List moments of thankfulness. Ask AI to forge them into a mythic power source.,Forges emotional warmth into symbolic sustenance.
Archetypal Isolation Translator,Decodes your isolation as symbolic preparation for destiny.,Describe your solitude. Ask AI to mythologize it as heroic withdrawal or sacred exile.,Translates loneliness into mythic incubation.
Symbolic Ritual of Unmaking,Deconstructs your false self in a symbolic ceremonial purge.,Describe your persona. Ask AI to ritualize its symbolic deconstruction.,Clears space for authentic identity through mythic destruction.
Mythic Permission Scroll,Gives divine symbolic authorization to pursue what you fear.,Describe a forbidden desire. Ask AI to issue a scroll of mythic sanction.,Legitimizes suppressed drives through sacred declaration.
Symbolic Closure Mechanism,Constructs a mythic process for ending something with dignity.,Name what needs closure. Ask AI to build a symbolic act of ending.,Enables clean exits and psychological finality.
Sacred Contradiction Altar,Holds your conflicting beliefs in symbolic coexistence.,List opposing beliefs. Ask AI to design an altar where both are honored.,Resolves inner conflict through sacred paradox.
Symbolic Lineage Reversal Rite,Performs a mythic ceremony to end inherited psychic legacies.,Describe ancestral baggage. Ask AI to ritualize its disavowal.,Severs psychic inheritance and restores sovereignty.
Mythic Temptation Transmutation,Turns destructive temptation into a trial that increases strength.,Name a compulsion. Ask AI to transform it into a symbolic gauntlet.,Alchemizes danger into growth pathway.
Symbolic Sacrifice Ledger,Tracks what you have given up and converts it into symbolic capital.,List your sacrifices. Ask AI to inscribe them into mythic value currency.,Quantifies loss into spiritual equity.
