Prompt,What it is,How to use it,What it changes
Symbolic Survival Loop Breaker,Interrupts default mental patterns tied to survival-based identity.,Describe your coping strategies. Ask AI to find their survival root and rewrite a new pattern based on thriving.,Releases trauma-driven automaticity.
Cognitive Dissonance Excavator,Surfaces inner conflicts between belief and behavior.,Describe an area of guilt or ambivalence. Ask AI to identify the contradiction and suggest an integration path.,Reduces internal chaos and mental noise.
Symbolic Burnout Diagnosis,Detects invisible symbolic expectations causing chronic fatigue.,"List your inner demands. Ask AI which ones are based on invisible archetypes, projections, or inherited duty.",Dissolves psychic exhaustion by rejecting false tasks.
Symbolic System Rewrite,"Rebuilds the symbolic infrastructure of how you relate to safety, value, or time.",Describe your daily stressors. Ask AI to trace the symbolic system underlying each and offer a redesigned model.,Establishes a new architecture of self-regulation.
Shame Scar Relic Transmutation,Turns a moment of humiliation into a sacred artifact of transformation.,Describe a shame memory. Ask AI to symbolically sculpt it into a relic of strength.,Converts psychic residue into talismanic power.
Language Inversion Therapy,Reverses internalized binary thinking by flipping assumed polarities.,"List polarizing concepts (e.g., success/failure). Ask AI to generate new meanings for each side and collapse the binary.",Breaks dualistic traps and expands inner nuance.
Energetic Ancestry Simulation,"Maps ancestral patterns you’re emotionally, symbolically, or behaviorally continuing.",Describe a life issue. Ask AI to simulate a generational ancestor with a parallel pattern.,Links past and present in symbolic resolution.
Shadow Resource Activation,Identifies talents or truths hidden in rejected self-aspects.,Name a trait you disown or dislike. Ask AI what resource is buried inside it.,Reintegrates exiled power and repressed insight.
Role Model Extraction Protocol,Extracts embedded symbolic guidance from figures you admire.,List people you idealize. Ask AI to extract the traits they represent and design an integration method.,Converts admiration into internal guidance.
Symbolic Orbit Realignment,Adjusts your relational orbit—who you revolve around and why.,Describe your closest connections. Ask AI to reveal symbolic gravity patterns and realign your center.,Recenters personal gravity and autonomy.
