Prompt,What it is,How to use it,What it changes
Sacred Rebirth Threshold,Marks the exact symbolic point where a major identity transition begins.,Describe your shift. Ask AI to define and name the mythic threshold moment.,Creates a ritual anchor for personal transformation.
Mythic Discipline Codex,Designs a set of sacred laws to enforce willpower symbolically.,Describe a behavior you want to enforce. Ask AI to render laws as mythic decrees.,Converts routine discipline into sacred law structure.
Symbolic Abandonment Interpreter,Reframes abandonment as sacred severance with transformative purpose.,Describe an abandonment. Ask AI to interpret its symbolic gift or initiation.,Extracts wisdom from painful relational loss.
Sacred Chaos Alignment Tool,Finds the hidden order in your psychological chaos and maps it symbolically.,Describe your confusion. Ask AI to render the mythic meaning of that pattern.,Creates coherence from cognitive fragmentation.
Mythic Temptation Duel,Frames your temptation as a mythic enemy with its own logic and demands.,Describe the pull. Ask AI to stage a mythic encounter and reveal the stakes.,Transforms internal battle into symbolic ritual of strength.
Symbolic Reentry Protocol,Designs a process for reintegrating after transformation or trauma.,Describe what changed. Ask AI to construct a mythic ritual for reentry to normalcy.,Facilitates graceful return from inner liminality.
Shadowline Crossroad Compass,Provides guidance at decision points where your shadow wants to sabotage.,Describe your options. Ask AI to detect the shadow’s preferred path and offer resistance strategy.,Disarms sabotage through symbolic exposure.
Mythic Testimony Archive,Creates a record of your symbolic trials and what you learned.,List past ordeals. Ask AI to archive them as trial records and sacred lessons.,Encodes suffering as historical capital and wisdom.
Symbolic Guardian Invocation,Summons an archetypal guardian tailored to your current challenge.,Describe the obstacle. Ask AI to call forth a symbolic protector.,Installs inner defense through personalized archetype.
Sacred Impossible Integration,Takes two seemingly incompatible truths and integrates them symbolically.,List the two realities. Ask AI to perform a mythic synthesis.,Creates transcendent unity from dual contradiction.
